,Date,Total Traffic Volume,Base Interest Rate,Exchange Rate,Gross Domestic Product (GDP),Economic Growth Rate (Real GDP Growth Rate),Export price,Export growth rate,Import price,Import growth rate,Nationwide Consumer Price Index,Regular Unleaded Gasoline,Diesel Fuel for Automobiles,number of car ownership
0,2011-01-01,5466446,2.75,1121.5,328096,5.4,44465366,44.7,41981323,13.6,90.448,1814.57,1611.14,18409608
1,2011-01-02,5059821,2.75,1121.732258,328096,5.4,44269519.6,43.7759427,41799132.37,13.52163472,90.39780645,1815.24,1611.79,18398782
2,2011-01-03,5631394,2.75,1121.964516,328096,5.4,44073673.2,42.8518854,41616941.74,13.44326943,90.3476129,1816.15,1612.85,18387956
3,2011-01-04,5584995,2.75,1122.196774,328096,5.4,43877826.79,41.9278281,41434751.11,13.36490415,90.29741935,1817.48,1614.02,18377130
4,2011-01-05,5742955,2.75,1122.429032,328096,5.4,43681980.39,41.0037708,41252560.48,13.28653887,90.24722581,1818.53,1615,18366304
5,2011-01-06,5711377,2.75,1122.66129,328096,5.4,43486133.99,40.0797135,41070369.85,13.20817358,90.19703226,1819.44,1615.81,18355478
6,2011-01-07,6289335,2.75,1122.893548,328096,5.4,43290287.59,39.1556562,40888179.21,13.1298083,90.14683871,1820.66,1616.9,18344652
7,2011-01-08,6171881,2.75,1123.125806,328096,5.4,43094441.19,38.2315989,40705988.58,13.05144302,90.09664516,1821.42,1617.52,18333826
8,2011-01-09,4984525,2.75,1123.358065,328096,5.4,42898594.78,37.30754161,40523797.95,12.97307773,90.04645161,1821.76,1617.75,18323000
9,2011-01-10,5898322,2.75,1123.590323,328096,5.4,42702748.38,36.38348431,40341607.32,12.89471245,89.99625806,1822.35,1618.36,18312174
10,2011-01-11,5678012,2.75,1123.822581,328096,5.4,42506901.98,35.45942701,40159416.69,12.81634717,89.94606452,1822.67,1618.7,18301348
11,2011-01-12,5597256,2.75,1124.054839,328096,5.4,42311055.58,34.53536971,39977226.06,12.73798188,89.89587097,1823.22,1619.1,18290522
12,2011-01-13,5905843,2.75,1124.287097,328096,5.4,42115209.18,33.61131241,39795035.43,12.6596166,89.84567742,1823.81,1619.62,18279696
13,2011-01-14,6270644,2.75,1124.519355,328096,5.4,41919362.77,32.68725511,39612844.8,12.58125132,89.79548387,1824.36,1620.19,18268870
14,2011-01-15,6215504,2.75,1124.751613,328096,5.4,41723516.37,31.76319781,39430654.17,12.50288603,89.74529032,1824.58,1620.32,18258044
15,2011-01-16,4596628,2.75,1124.983871,328096,5.4,41527669.97,30.83914051,39248463.54,12.42452075,89.69509677,1824.75,1620.53,18247218
16,2011-01-17,5740522,2.75,1125.216129,328096,5.4,41331823.57,29.91508321,39066272.91,12.34615547,89.64490323,1825.26,1621.16,18236393
17,2011-01-18,5807639,2.75,1125.448387,328096,5.4,41135977.17,28.99102591,38884082.27,12.26779018,89.59470968,1826.64,1622.69,18225567
18,2011-01-19,5920447,2.75,1125.680645,328096,5.4,40940130.77,28.06696861,38701891.64,12.1894249,89.54451613,1827.39,1623.53,18214741
19,2011-01-20,5999017,2.75,1125.912903,328096,5.4,40744284.36,27.14291131,38519701.01,12.11105962,89.49432258,1828.05,1624.21,18203915
20,2011-01-21,6540631,2.75,1126.145161,328096,5.4,40548437.96,26.21885401,38337510.38,12.03269433,89.44412903,1828.58,1624.78,18193089
21,2011-01-22,6395061,2.75,1126.377419,328096,5.4,40352591.56,25.29479671,38155319.75,11.95432905,89.39393548,1829.07,1625.2,18182263
22,2011-01-23,4735141,2.75,1126.609677,328096,5.4,40156745.16,24.37073941,37973129.12,11.87596377,89.34374194,1829.3,1625.21,18171437
23,2011-01-24,5359900,2.75,1126.841935,328096,5.4,39960898.76,23.44668212,37790938.49,11.79759848,89.29354839,1829.69,1625.81,18160611
24,2011-01-25,5839831,2.75,1127.074194,328096,5.4,39765052.35,22.52262482,37608747.86,11.7192332,89.24335484,1830.89,1627.44,18149785
25,2011-01-26,5973703,2.75,1127.306452,328096,5.4,39569205.95,21.59856752,37426557.23,11.64086792,89.19316129,1831.61,1628.4,18138959
26,2011-01-27,6074548,2.75,1127.53871,328096,5.4,39373359.55,20.67451022,37244366.6,11.56250263,89.14296774,1832.5,1629.49,18128133
27,2011-01-28,6441586,2.75,1127.770968,328096,5.4,39177513.15,19.75045292,37062175.97,11.48413735,89.09277419,1833.39,1630.53,18117307
28,2011-01-29,5747562,2.75,1128.003226,328096,5.4,38981666.75,18.82639562,36879985.33,11.40577207,89.04258065,1834.21,1631.24,18106481
29,2011-01-30,4201981,2.75,1128.235484,328096,5.4,38785820.34,17.90233832,36697794.7,11.32740678,88.9923871,1834.62,1631.66,18095655
30,2011-01-31,6024860,2.75,1128.467742,328096,5.4,38589973.94,16.97828102,36515604.07,11.2490415,88.94219355,1835.48,1632.73,18084829
31,2011-02-01,6440455,2.75,1128.7,328096,5.4,38584530.93,16.55150621,36513560.43,11.25131662,88.892,1836.57,1634.49,18074004
32,2011-02-02,6024050,2.75,1127.557143,328096,5.4,38897521.19,16.95639351,36812797.09,11.38845587,88.90435714,1837.34,1635.33,18075972
33,2011-02-03,7929925,2.75,1126.414286,328096,5.4,39210511.45,17.36128081,37112033.75,11.52559511,88.91671429,1837.61,1635.65,18077941
34,2011-02-04,6512531,2.75,1125.271429,328096,5.4,39523501.7,17.76616811,37411270.4,11.66273436,88.92907143,1837.94,1635.93,18079910
35,2011-02-05,5898564,2.75,1124.128571,328096,5.4,39836491.96,18.1710554,37710507.06,11.7998736,88.94142857,1838.18,1636.18,18081878
36,2011-02-06,4435220,2.75,1122.985714,328096,5.4,40149482.21,18.5759427,38009743.72,11.93701285,88.95378571,1838.34,1636.35,18083847
37,2011-02-07,5636547,2.75,1121.842857,328096,5.4,40462472.47,18.98083,38308980.38,12.0741521,88.96614286,1839.01,1637.18,18085816
38,2011-02-08,5809283,2.75,1120.7,328096,5.4,40775462.73,19.3857173,38608217.04,12.21129134,88.9785,1842,1640.42,18087784
39,2011-02-09,5913192,2.75,1119.557143,328096,5.4,41088452.98,19.79060459,38907453.7,12.34843059,88.99085714,1844.45,1643.12,18089753
40,2011-02-10,5938146,2.75,1118.414286,328096,5.4,41401443.24,20.19549189,39206690.36,12.48556983,89.00321429,1846.41,1645.57,18091722
41,2011-02-11,6340986,2.75,1117.271429,328096,5.4,41714433.49,20.60037919,39505927.02,12.62270908,89.01557143,1847.81,1647.39,18093690
42,2011-02-12,5990198,2.75,1116.128571,328096,5.4,42027423.75,21.00526648,39805163.68,12.75984833,89.02792857,1848.82,1648.49,18095659
43,2011-02-13,4805347,2.75,1114.985714,328096,5.4,42340414.01,21.41015378,40104400.33,12.89698757,89.04028571,1849.26,1649,18097628
44,2011-02-14,5328513,2.75,1113.842857,328096,5.4,42653404.26,21.81504108,40403636.99,13.03412682,89.05264286,1849.95,1650.02,18099596
45,2011-02-15,5687814,2.75,1112.7,328096,5.4,42966394.52,22.21992838,40702873.65,13.17126606,89.065,1850.25,1651.81,18101565
46,2011-02-16,6094336,2.75,1111.557143,328096,5.4,43279384.77,22.62481567,41002110.31,13.30840531,89.07735714,1850.77,1652.85,18103534
47,2011-02-17,6050472,2.75,1110.414286,328096,5.4,43592375.03,23.02970297,41301346.97,13.44554455,89.08971429,1851.25,1653.52,18105502
48,2011-02-18,6719157,2.75,1109.271429,328096,5.4,43905365.29,23.43459027,41600583.63,13.5826838,89.10207143,1851.89,1654.64,18107471
49,2011-02-19,6689688,2.75,1108.128571,328096,5.4,44218355.54,23.83947756,41899820.29,13.71982305,89.11442857,1852.51,1655.45,18109440
50,2011-02-20,5678429,2.75,1106.985714,328096,5.4,44531345.8,24.24436486,42199056.95,13.85696229,89.12678571,1852.87,1655.91,18111408
51,2011-02-21,6363049,2.75,1105.842857,328096,5.4,44844336.05,24.64925216,42498293.61,13.99410154,89.13914286,1853.59,1658.15,18113377
52,2011-02-22,6381021,2.75,1104.7,328096,5.4,45157326.31,25.05413946,42797530.27,14.13124078,89.1515,1856.39,1662.41,18115346
53,2011-02-23,6406449,2.75,1103.557143,328096,5.4,45470316.57,25.45902675,43096766.92,14.26838003,89.16385714,1858.95,1664.82,18117314
54,2011-02-24,6481902,2.75,1102.414286,328096,5.4,45783306.82,25.86391405,43396003.58,14.40551928,89.17621429,1861.79,1668.51,18119283
55,2011-02-25,7054383,2.75,1101.271429,328096,5.4,46096297.08,26.26880135,43695240.24,14.54265852,89.18857143,1864.57,1671.5,18121252
56,2011-02-26,7054578,2.75,1100.128571,328096,5.4,46409287.33,26.67368865,43994476.9,14.67979777,89.20092857,1866.6,1673.61,18123220
57,2011-02-27,4965985,2.75,1098.985714,328096,5.4,46722277.59,27.07857594,44293713.56,14.81693701,89.21328571,1867.5,1674.48,18125189
58,2011-02-28,6589958,2.75,1097.842857,328096,5.4,47035267.85,27.48346324,44592950.22,14.95407626,89.22564286,1869.75,1677.12,18127158
59,2011-03-01,5649904,3,1096.7,328096,5.4,47348258.1,27.88835054,44892186.88,15.0912155,89.238,1877.24,1684.26,18129127
60,2011-03-02,6003694,3,1095.887097,328096,5.4,47661248.36,28.29323783,45191423.54,15.22835475,89.24080645,1886,1693.06,18130715
61,2011-03-03,5988833,3,1095.074194,328096,5.4,47974238.61,28.69812513,45490660.2,15.365494,89.2436129,1891.78,1698.87,18132304
62,2011-03-04,6455085,3,1094.26129,328096,5.4,48064811.76,28.67048662,45532292.45,15.74211081,89.24641935,1897.1,1704.46,18133893
63,2011-03-05,6342816,3,1093.448387,328096,5.4,48080606.74,28.49742996,45487316.33,16.19924163,89.24922581,1901.83,1709.07,18135482
64,2011-03-06,5201127,3,1092.635484,328096,5.4,48096401.72,28.32437329,45442340.21,16.65637245,89.25203226,1904.1,1711.15,18137071
65,2011-03-07,6111602,3,1091.822581,328096,5.4,48112196.7,28.15131662,45397364.09,17.11350327,89.25483871,1908.06,1715.67,18138659
66,2011-03-08,6055938,3,1091.009677,328096,5.4,48127991.68,27.97825995,45352387.96,17.57063408,89.25764516,1916.81,1726.4,18140248
67,2011-03-09,5999609,3,1090.196774,328096,5.4,48143786.66,27.80520329,45307411.84,18.0277649,89.26045161,1923.71,1734.78,18141837
68,2011-03-10,6095428,3,1089.383871,328096,5.4,48159581.64,27.63214662,45262435.72,18.48489572,89.26325806,1930.22,1742.71,18143426
69,2011-03-11,6676256,3,1088.570968,328096,5.4,48175376.62,27.45908995,45217459.6,18.94202654,89.26606452,1935.47,1749.06,18145015
70,2011-03-12,6851891,3,1087.758065,328096,5.4,48191171.6,27.28603328,45172483.48,19.39915736,89.26887097,1939.45,1753.27,18146603
71,2011-03-13,5752912,3,1086.945161,328096,5.4,48206966.58,27.11297662,45127507.35,19.85628818,89.27167742,1941.03,1754.99,18148192
72,2011-03-14,6148690,3,1086.132258,328096,5.4,48222761.56,26.93991995,45082531.23,20.313419,89.27448387,1943.63,1758.26,18149781
73,2011-03-15,6084114,3,1085.319355,328096,5.4,48238556.54,26.76686328,45037555.11,20.77054982,89.27729032,1946.71,1762.64,18151370
74,2011-03-16,6028189,3,1084.506452,328096,5.4,48254351.52,26.59380661,44992578.99,21.22768064,89.28009677,1949.07,1765.54,18152959
75,2011-03-17,6112393,3,1083.693548,328096,5.4,48270146.5,26.42074995,44947602.87,21.68481146,89.28290323,1951.28,1768.33,18154547
76,2011-03-18,6595094,3,1082.880645,328096,5.4,48285941.48,26.24769328,44902626.75,22.14194228,89.28570968,1953.45,1771.15,18156136
77,2011-03-19,6688576,3,1082.067742,328096,5.4,48301736.46,26.07463661,44857650.62,22.5990731,89.28851613,1955.29,1773.5,18157725
78,2011-03-20,4899161,3,1081.254839,328096,5.4,48317531.44,25.90157995,44812674.5,23.05620392,89.29132258,1956.27,1774.62,18159314
79,2011-03-21,6197573,3,1080.441935,328096,5.4,48333326.42,25.72852328,44767698.38,23.51333474,89.29412903,1957.93,1777.13,18160903
80,2011-03-22,6123165,3,1079.629032,328096,5.4,48349121.4,25.55546661,44722722.26,23.97046556,89.29693548,1959.15,1781.33,18162491
81,2011-03-23,6171781,3,1078.816129,328096,5.4,48364916.38,25.38240994,44677746.14,24.42759638,89.29974194,1960.24,1784.07,18164080
82,2011-03-24,6121910,3,1078.003226,328096,5.4,48380711.36,25.20935328,44632770.02,24.8847272,89.30254839,1961.44,1786.43,18165669
83,2011-03-25,6647118,3,1077.190323,328096,5.4,48396506.34,25.03629661,44587793.89,25.34185802,89.30535484,1962.76,1788.55,18167258
84,2011-03-26,7077040,3,1076.377419,328096,5.4,48412301.32,24.86323994,44542817.77,25.79898884,89.30816129,1963.67,1790.1,18168847
